"Anzeigename des Nutzers","Zeitstempel","Altersklasse","Beziehst du aktuell das Jugendticket BW / Würdest du das Jugendticket BW beziehen wenn du berechtigt wärst?","Begründung/Sonstige Tickets?","Beziehst du aktuell das Deutschlandticket (49 € Ticket)?","Begründung","Würdest du ein vollsolidarisches Deutschlandticket unterstützen?","Begründung","Wie stark würde dich das vollsolidarische bundesweite Semesterticket finanziell treffen? (Skala 1 (kein/kleines Problem) - 10 (nicht finanzierbar))","Sonstige Anmerkungen"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:10:26 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:08:44 GMT+0:00","≤ 26","Nein","halte mich mit dem ""normalen"" Deutschlandticket über Wasser, weil das nicht auf BW begrenzt ist","Ja","Es ist soooo viel günstiger und bequemer, als ständig in anderen Verbünden ein neues Ticket zu ziehen oder Fernverkehr zu fahren. Ich muss öfter über Bundeslandgrenzen und spare dadurch total.","Ja"," Ich bin bissl geizig, aber gleichzeitig auch für Solidarität. Gleichzeitig wär es ein schönes Zeichen für mehr Klimaschutz, wenn alle Studis das Ticket haben und letztendlich wäre es sogar günstiger, als wenn man das DE Ticket, JugendBW, Semesterticket kauft. Fänds schade, wenn Studis dies selbst nicht brauchen, dagegen stimmen, weil sie es nicht einsehen für andere draufzuzahlen. Wir brauchen mehr Solidarität.","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:07:54 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:07:29 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:06:38 GMT+0:00","≤ 26","Nein","","Nein","","Nein","Warum bekommen wir ein teures Bahnticket aufgezwungen wenn wir Fahrrad oder Auto fahren? Für einen Euro mehrwert.","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:04:47 GMT+0:00","> 26","Nein","49 euro Ticket Jobticket","Ja","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:03:43 GMT+0:00","> 26","Nein","","Nein","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:01:32 GMT+0:00","> 26","Nein","Semesterticket","Nein","Semesterticket","Nein","Die Semestergebühren steigen dann","","Es soll so bleiben wie gehabt"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 18:01:29 GMT+0:00","≤ 26","Nein","Benötige ich nicht, da ich ein eigenes Auto habe und es von meinem Wohnort aus keinerlei ÖPNV Verbindung gibt.","Nein","Ich fahre über all mit dem Auto hin, da sich ein ÖPNV Ticket bei mir nicht lohnt (keine Anbindung an Wohnort).","Nein","Für mich ist es völlig unsinnig pro Semester fast 350€ zu bezahlen, obwohl ich dieses besagte Ticket weder brauche, noch verwenden kann. Noch dazu ist es als Student nicht finanzierbar. ","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:57:14 GMT+0:00","≤ 26","Nein","","Nein","","Nein","Kein Geld","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:57:05 GMT+0:00","≤ 26","Ja","Dticket, weil die Mindestlaufzeit für das JugendBW-Ticket zu lange war.","Ja","Jederzeit kündbar.","Nein","Ich sehe die Pro-Argumente als äußerst positiv, aber der Semesterbeitrag wäre einfach zu hoch.","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:55:51 GMT+0:00","≤ 26","Nein","Hab Auto","Nein","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:54:08 GMT+0:00","> 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:53:34 GMT+0:00","≤ 26","Ja","","Nein","Zu teuer und Bahn hat immer Verspätung","Ja","","1","Bitte so machen, dass Leute, die zum Beispiel im Auslandssemester sind, den normalen Beitrag zahlen, da das Bahnticket nicht genutzt wird."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:52:17 GMT+0:00","≤ 26","Nein","Ich beziehe aktuell noch das Deutschlandticket, da ich mein Ticket auch außerhalb BW benötige.","Ja","","Ja","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:51:58 GMT+0:00","≤ 26","Nein","Ich wohne leider nicht um die Ecke, weshalb ich auf das Auto angewiesen bin.","Nein","Ich wohne leider nicht um die Ecke, weshalb ich auf das Auto angewiesen bin.","Nein","Ich würde das Ticket eventuell ab und an in meiner Freizeit nutzen, dafür ist es mir aber zu teuer.","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:51:43 GMT+0:00","≤ 26","Ja","Fahre nach Konstanz und in Stuttgart.","Nein","Brauch ich nicht.","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:51:41 GMT+0:00","≤ 26","Nein","Zu teuer ","Nein","Brauch ich nicht ","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:51:39 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:50:57 GMT+0:00","> 26","Nein","Auto","Nein","","Nein","Wieso soll ich 180€ mehr zahlen, wenn ich keine bahn fahre?! Ist doch quatsch jetzt mal ehrlich! Soll jeder sein Ticket zahlen wer es will.","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:50:28 GMT+0:00","> 26","Ja","Es lohnt sich.","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:49:23 GMT+0:00","> 26","Ja","","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:48:56 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:48:07 GMT+0:00","≤ 26","Ja","Brauche kein ÖPNV","Nein","Ich brauche momentan kein ÖPNV","Nein","Unfair gegenüber die die es nicht brauchen","7","Völlig unfair für die die kein ÖPNV brauchen"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:47:07 GMT+0:00","≤ 26","Ja","Fahr immer mit der Bahn ","Nein","Unnötig ","Nein","Unnötig ","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:46:00 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:43:00 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:42:49 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:41:25 GMT+0:00","≤ 26","Nein","","Ja","","Ja","Umweltargument. ","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:39:44 GMT+0:00","> 26","Nein","","Nein","Fahre mit dem Auto","Nein","Ich komme täglich von weiter weg in die Hochschule. Mit den Öffis bin ich zwar günstiger unterwegs, aber die Zeit die ich mit den Offis brauche machen meine Work-Life Balance untragbar weshalb ich die höheren Kosten mit dem Auto in Kauf nehme. Dass der Semesterbeitrag auf das doppelte steigt wäre Grund genug für mich, die Hochschule zu wechseln.","8","Lasst die Leute bitte selber entscheiden, wie sie ihre Fahrten gestalten."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:39:00 GMT+0:00","≤ 26","Ja","","Ja","","Unentschlossen","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:36:24 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","Find’s halt doof, da ich jetzt an das VVS Abo für ein Jahr gebunden bin und da seh ich es nicht ein nochmal zu zahlen? Ursprünglich hieß es auch, dass das Abo sowieso nur pro Semester gelten würde und das ist jetzt nicht der Fall. Für mich klingt das wieder als würde man das dann wahrscheinlich nicht bedenken und dann müsste ich ja gezwungenermaßen den Betrag für den Zeitraum NOCHMAL zahlen? + wäre gezwungen dazu wenn ich ins Ausland gehe ","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:35:41 GMT+0:00","≤ 26","Ja","Bequeme Mobilität in BaWü","Nein","Verbranntes Geld","Nein","Die Begründung liegt relativ oben auf der Hand. Zwar würde sich das vergünstigte Ticket unter einigen Umständen definitiv lohnen, ist es keine notwendige und schon gar nicht die optimale Lösung für die Gesamtheit der Studierenden. Eine absolut überwiegende Anzahl lebt und bewegt sich innerhalb von Baden-Württemberg. Die Reisen außerhalb sind zumeist fast privat ausgemacht und sollen dementsprechend privat finanziert werden.","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:35:33 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:35:06 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:28:34 GMT+0:00","≤ 26","Ja","","Ja","","Nein","ich besitze das jugend bw ticket/deutschlandticket sowieso, evtl. wäre kündigung schwer","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:27:20 GMT+0:00","≤ 26","Ja","","Nein","Das Jugendticket beinhaltet in BW das Detuschlandticket für 30 Euro","Ja","Brauch das Ticket sowieso insofern macht es für mich nicht wirklich nen Unterscheid","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:27:08 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:22:43 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:22:31 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:21:48 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Es gibt warscheinlich sehr viel mehr Studierende die das Ticket NICHT brauchen, als Ü26 Studierende bzw. solche die es brauchen würden","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:21:07 GMT+0:00","≤ 26","Nein","","Nein","","Nein","Semesterbeitrag von 347€ ist für alle, die das Ticket nicht brauchen so wie ich, unverschämt hoch.","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:18:31 GMT+0:00","≤ 26","Ja","","Ja","","Ja","","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:16:06 GMT+0:00","> 26","Nein","","Nein","Benutzer das Deutschlandticket Job","Nein","Da ich das andere Ticket sowieso habe, würde ich mehr zahlen müssen, obwohl ich das Ticket gar nicht benutzen würde","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:15:43 GMT+0:00","≤ 26","Ja","","Ja","","Ja","","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:15:31 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:14:34 GMT+0:00","≤ 26","Ja","","Nein","ich bin momentan im auslandssemester","Ja","ich bräuchte sowieso ein öpnv ticket, und wenn die Ü26 davon auch noch profitieren, warum nicht. Tut nur denen weh, die gar kein öpnv ticket regelmäßig brauchen, ist meiner einschätzung nach eher die minderheit","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:14:23 GMT+0:00","≤ 26","Ja","Günstiger als Semesterticket, aber viel, viel viel bessere Leistung","Nein","","Ja","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:12:25 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:12:04 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:10:57 GMT+0:00","≤ 26","Ja","","Nein","bisher nutze ich das JugendticketBW, das wurde ja jetzt auf das Deutschlandticket umgestellt.","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:10:36 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1","ÖPNV muss gestärkt werden, ich verstehe nicht, wer sich das Ticket nicht leisten kann. Studierende, die ein Auto fahren und hier z.B. 10 angeben, sollte man schonmal gar nicht beachten."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:08:15 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:06:56 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:05:04 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:04:10 GMT+0:00","≤ 26","Ja","","Ja","es ist momentan für meine umstände das günstigste ticket","Ja","Der Semesterbeitrag wird voll von einem Familienanteil gezahlt. zusätzliche Zugtickets muss ich selber zahlen","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:02:04 GMT+0:00","> 26","Ja","Aktuell ist die Fahrt mit dem Auto im Vergleich zu den mir zugänglichen Tickets günstiger... Hier stimmt etwas nicht...","Nein","Nein, da teurer wie Fahrt mit dem auto","Nein","Preiserhöhung steht nicht im Verhältnis. Eine vvs weite Lösung wäre ein guter Kompromiss der günstiger umzusetzen sein sollte.","6","Wie wäre ein vollsolidarisches Ticket im Gebiet des VVS?"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:02:00 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Öffentliche sind nicht sehr zuverlässig und manchmal ziemlich nervig. Ich verstehe, dass viele lieber mit dem Auto fahren. Zwang wäre nicht gut für 1€ weniger pro Monat.","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 17:00:07 GMT+0:00","> 26","Ja","","Nein","","Ja","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:59:05 GMT+0:00","> 26","Ja","","Ja","JugendTicketBW = Deutschland Ticket seit Dezember","Unentschlossen","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:57:43 GMT+0:00","≤ 26","Ja","","Ja","Weil ich schon 27 Jahre alt bin.","Ja","Ich habe als Studierende genauso wenig finanzielle Mittel, wie jüngere Studierende. Jedoch muss ich höhere Kosten tragen. In vielen Bereichen enden die Ermäßigungen mit dem Erreichen des 26. Lebensjahrs. Das finde ich unfair. Es sollte individuelle Lösungen für diese Fälle geben. ","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:57:19 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","9",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:55:48 GMT+0:00","≤ 26","Nein","hab dad vergünstigte Deutschlandticket für 30€","Ja","die MVV vergünstigt es für 30€ monatlich","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:53:26 GMT+0:00","≤ 26","Nein","","Ja","Deutschland Job Ticket","Unentschlossen","Ich habe Sorge vor dem finanziellen Aspekt, jedoch verstehe ich auch, dass es im Grunde eine gute Idee ist und sicher vielen Studierenden weiterhelfen würde. ","6",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:52:52 GMT+0:00","≤ 26","Nein","Ich benötige keine öffentlichen Verkehrsmittel und möchte dadurch auch nicht das doppelte an Semesterbeitrag zahlen. Der wo das Ticket benötigt kann es sich selbstständig für 30€ im Monat kaufen!!","Nein","Ich benötige keine öffentlichen Verkehrsmittel ","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:52:47 GMT+0:00","≤ 26","Nein","Ich bin gerade im Praxissemester und wohne nicht in BW","Ja","Ist die günstigste Variante ","Ja","Ich glaube, das mehr Studierende ü27 davon profitieren werden, als es Studierende gibt, die unter 30€ im Monat für Öffis ausgeben. Außerdem ist es bundesweit einsetzbar, was für viele bestimmt auch eine finanzielle Entlastung ist. Dazu kommt, dass man es nicht für ein Jahr kaufen muss, was für Studierende im letzten Semester, oder vor einem Praxissemester stehen, ermöglicht, nicht ein BW Ticket für ein ganzes Jahr zu kaufen, sollten sie umziehen.","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:51:43 GMT+0:00","≤ 26","Ja","Fahrten auch außerhalb vom vvs-Gebiet möglich (ich wohne an der Grenze vom vvs)","Nein","","Nein","Ich würde viiiel mehr zahlen, ohne irgendwas selber dafür zu bekommen. Die meisten Studierenden sind sowieso U26","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:51:42 GMT+0:00","> 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:50:57 GMT+0:00","> 26","Nein","Ich muss viel mit dem Fernverkehr fahren für den das Ticket leider nicht gilt. Ein ÖPNV Ticket lohnt sich für mich eher nicht.","Nein","Ich komme nicht an die 49€ für ÖPNV Tickets. Ich arbeite im Home Office und nutze den ÖPNV nicht häufig genug. Ich benutze den ÖPNV ca. 1-2 Mal in der Woche und komme mit den Tickets durchschnittlich auf 20-35€ raus. ","Nein","Ich denke die meisten Studis sind U27, außerdem ist die Preisdifferenz von 20€ pro Monat für mich nicht hoch genug. Ich glaube es ist dann besser die Studis über ihr Geld entscheiden zu lassen. Für viele Studis machen 29€ pro Monat haben oder nicht haben schon einen Unterschied.","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:48:29 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:47:16 GMT+0:00","> 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:46:53 GMT+0:00","> 26","Ja","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:46:40 GMT+0:00","≤ 26","Ja","","Ja","Hatte das BW Jugend Ticket, wurde jetzt auf Deutschlandticket umgestellt aber zahle immer noch 30,42€","Unentschlossen","Das Ticket kostet aktuell ""normal"" nur 1€ mehr als mit dem ""vergünstigten"" Ticket (für 29,40€ statt 30,42€) - für mich als Penderlin wäre ein vergünstigtes Ticket natürlich toll, aber bei nur 1€ unterschied will ich es den ""Nicht-Pendlern"" nicht aufbürden, 30€ mehr im Monat zahlen zu müssen. Wenn es zb 10€ Unterschied wären, dann würde es sich vielleicht eher lohnen, auch um die ""Nicht-Pendler"" zu locken. Weiterer Punkt ist die monatliche Zahlung vs. halbjährliche Zahlung. Monatlich 30€ kann man als Studi eher stemmen als 350€ auf einmal, meiner Erfahrung nach. Für so einen Betrag müsste es sich schon echt ""lohnen"".","4","Danke dass ihr euch um solche Themen kümmert!"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:46:30 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:44:43 GMT+0:00","> 26","Nein","","Nein","","Nein","Kann es mir so nicht mehr leisten zu studieren.","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:43:09 GMT+0:00","≤ 26","Ja","","Nein","Habe das Jugend Ticket ","Ja","ist ja sogar billiger","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:42:53 GMT+0:00","> 26","Ja","","Nein","Zu teuer","Nein","Zu teuer","6",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:42:27 GMT+0:00","≤ 26","Nein","wohne am campus und fahre sehr selten Bahn bzw bin im Auslandssemester und kann überhaupt nicht in Deutschland bahn fahren ","Nein","wohne am campus, fahre selten bahn","Unentschlossen","","7","Für alle die am campus wohnen ist es unnötig teuer "
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:40:29 GMT+0:00","≤ 26","Ja","günstigstes Ticket um jeden Tag an die hochschule zu kommen","Nein","Brauchst vor allem um an die hochschule zu gehen, da reicht bawü (aber Deutschlandticket ist da ja mittlerweile enthalten)","Ja","Allerdings nur wenn es kein günstigeres Angebot gibt um jeden Tag zur Hochschule zu kommen","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:39:00 GMT+0:00","≤ 26","Nein","Da ich aktuell mein Auslandssemester mache","Nein","Da ich aktuell mein Auslandssemester mache","Ja","Da ich sobald ich wieder in DE bin, auf jeden Fall ein Bahnticket benötige, und das DE-Tickt im Endeffekt günstiger ist und mehr beinhaltet, als alle anderen Optionen.","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:38:31 GMT+0:00","> 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:38:27 GMT+0:00","≤ 26","Nein","Brauche nicht ","Nein","","Nein","","8","Man sollte frei entscheiden dürfen ob man das Zugticket kaufen möchte oder nicht. Denn diejenigen die es nicht brauchen zahlen dann einen unnötig hohen Semestesbeitrag."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:38:08 GMT+0:00","> 26","Nein","Ja, aber leider zu alt","Ja","Ich brauche eine Ticket ","Ja","Für alle gleich","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:37:25 GMT+0:00","> 26","Nein","","Ja","","Unentschlossen","","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:35:30 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","9","Die Leute, die 180€ mehr zahlen müssen für nichts, weil sie es nicht brauchen steht nicht im Verhältnis zu den eher wenigen Studenten und Studentinnen, die 27 und älter sind."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:34:56 GMT+0:00","≤ 26","Ja","","Ja","","Unentschlossen","","5","Ein Semesterbeitrag von 350€ ist viel zu hoch. Andere Universitäten bieten ihren Studierenden ein Deutschlandweites Ticket für 10€. Warum die HdM nicht ?"
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:33:58 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Kein Sinn für Studierende die kein Deutschlandticket benötigen oder im Praxis/Auslandssemester sind.","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:33:57 GMT+0:00","≤ 26","Ja","","Nein","Nicht mehr. Ich beziehe seit 01.12. das Jugendticket BW, dass seitdem deutschlandweit gilt.","Unentschlossen","Prinzipiell gut, aber ich finde die Lösung, es nur als solidarticket anzubieten, nicht so gut.","5",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:33:48 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:33:03 GMT+0:00","> 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:31:30 GMT+0:00","≤ 26","Ja","","Ja","Für mich als ü26 aktuell am günstigsten.","Nein","Der Semesterbeitrag wäre schlicht zu hoch für diejenigen die es nicht nutzen. Hier muss ich mich mit den u26 solidarisieren die wahrscheinlich die Mehrheit bilden.","3",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:30:53 GMT+0:00","≤ 26","Ja","","Nein","Brauche ich nicht ","Nein","Ich hätte nur zusätzliche Kosten und würde es nie nutzen","9",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:30:32 GMT+0:00","> 26","Ja","","Ja","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:29:12 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:28:33 GMT+0:00","≤ 26","Nein","","Ja","Ich beziehe das Ausbildungsticket über 27 und zahle derzeit 30€, da dies noch von der Stadt bezuschussut wird, das Ticket gilt ja derzeit ebenfalls als Deutschland Ticket.","Nein","bitte Szenario 2!","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:27:29 GMT+0:00","> 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:27:04 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:27:04 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","10","Wieso müssen alle Studieren durch den erhöhten Semesterbeitrag für die (Bahn)Kosten von einem Teil der Studieren aufkommen? 

Es gibt zwar viele, die Bahn fahren -keine Frage. Aber es gibt auch genug Studierende, die direkt neben dem Campus wohnen, in Vaihingen ganz in der Nähe wohnen oder von der Familie auf dem Weg zur Arbeit mit an die HdM genommen werden. Oder manche, die kein Ticket wollen, weil sie ein Auto haben, Fahrgemeinschaften, im Ausland sind oder ihre Bachelorarbeit schreiben.. Nicht alle benötigen ein Ticket! Das ist wirklich nicht gerecht."
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:26:37 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:23:24 GMT+0:00","≤ 26","Ja","","Nein","","Ja","Alleine für die ü26 Studis finde ich das fair, auch wenn einige eigentlich kein Ticket brauchen","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:23:05 GMT+0:00","> 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:22:09 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:21:45 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Unter keinen Umständen!!!!","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:21:42 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:21:38 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:19:52 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","7",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:19:44 GMT+0:00","≤ 26","Ja","Nahverkehr ","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:19:28 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","4",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:19:25 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","2",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:18:08 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:17:07 GMT+0:00","> 26","Ja","","Ja","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:16:41 GMT+0:00","> 26","Nein","","Nein","","Nein","","6",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:16:22 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Mittwoch, 20. Dezember 2023 um 16:16:06 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","5",""
